,Key,Ans,Marks,New Marks,Similarity,Grammer,Keyword
0,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","An OOP is a modular approach, which allows data to be applied on stipulated program area. It is a feature to develop productive emphasis on data . It also provides the reusability logic",3,1,0.54810876,0.7849878668785095,0.28
1,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","An opps is a modular approach which allows data to be applied within stipulated program area, It also provides the reusability feature to develop productive logic which means to give more emphasis on data",4,2,0.3735153,0.7094900012016296,0.136
2,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","A programming language structure where in the data and their associated processing are defined, as self-containd entities called ""objects"". The norm today oop languages, such as C++ & Java.",5,2,0.50391084,0.9335289597511292,0.136
3,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",Object Oriented Programming involves programming around objects and its data. All the codes in Object Oriented Programming are written in classes and objects.,3,1,0.6122718,0.9625387787818909,0.424
4,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","Object Oriented Programming approach organizes a program around its data (ie. objects) & a set of wall defined interfaces to that data, An oop program can be characterised as data controlling access to code.",4,2,0.6774863,0.6689481139183044,0.424
5,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","object-oriented programming is a programming paradigm based on the concept of ""objects"", which can contain data and code: data in the form of fields, and code in the foram of procedures. A feature of objects is that an object's own procedures can access and often modify the data fields of itself.",4,2,0.61938596,0.9403074979782104,0.136
6,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",The object oriented programming is the basic core of java. All the codes of the programming java language is written into the classes and objects.,2,1,0.4730059,0.935806930065155,0.0
7,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",Objet oriented Programming - It is defined as the paradigm in which a program is created with a set of objects and well defined interface. It can also be said as data controlling access to code.,3,1,0.5200338,0.8723757266998291,0.424
8,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",Object oriented Pocagramming is based on the concepts of objects. Objects contain data in the form of attributes and coole in the form of methods. The computer programs are designed using concept of object that interact with real world.,3,1,0.5689774,0.521356999874115,0.28
9,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",Object oriented programming is a programming paradigm based on the concepts of objects which can contain data and code. Object oriented programming is at the core of Java,3,1,0.59718776,0.9898384809494019,0.136
10,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","OOP uses objects in programming. oop aims implement to real-world entities like encapsulation,polymorphism etc in programming. The main aim of oop bind is to together the data and functions that operate on them so that no other part of the code can access that this data except that function .",6,3,0.5857761,0.9293439388275146,0.856
11,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","Object oriented programming - this approach organizes a program around its data, that is objects, and a set of well-defined interface to the data in object oriented programming can be characterized as data controlling access to code",4,2,0.6710477,0.6558924317359924,0.424
12,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",Object Oriented Programming is defined as an approach of writing the program into objects and classes,1,0,0.60977954,0.971760094165802,0.288
13,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",OOP is the core of Java. All java programs are to be at least object oriented to some extent. OOP could be thought as code acting on data. This approach organizes a program around its data (or object) and a set of well-defined interfaces to that data. It can be characterized as data controlling access to code,3,1,0.617642,0.9813001751899719,0.712
14,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","Object oriented programming organizes a program around its data and a set of well defined interfaces to that data. It can be taken data controlling access to
 code.",3,1,0.6516679,0.5261989831924438,0.424
15,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",Object oriented Programming - it is a programming paradign in which mare importance is given to the object rather than the code. It gives more importance to the data and then defines obiects that hold-this data,4,2,0.5967402,0.5573253631591797,0.28
16,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","Object Oriented programming is an approach that Organises its program according to its data and a set of well defined interfaces that act on the data. It helps organise complex programs into simples steps with the use of inheritance, encapsulation and polymorphism. It is data controlling access to the code.",4,2,0.62211543,0.8587958812713623,0.424
17,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",object orient programming is the programming technique based on the concept of objects which contain methods and data members and it is a bottom up approach method.,5,2,0.74449116,0.6022496819496155,0.0
18,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","In Object Oriented Programming, the code is organised around the data ( or objects). The data is kept safe and it can be accessed theough well defined interfaces.",2,1,0.6380233,0.9198564887046814,0.568
19,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",Object Oriented Programming is a programming approach where the programs are built around the data. It is also referred as data accessing control over the code or program.,2,1,0.6813318,0.9195206761360168,0.424
20,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",Object oriented programming is the concept based on the collection of objects which can contain data and code. The java program is written in the form of objects and classes,3,1,0.5640546,0.9798671007156372,0.136
21,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",Object oriented Approach Programming is an approach were the focus is an on objects that is data & functions together rather than the procedure,5,2,0.7087003,0.6545490622520447,0.28
22,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","Java is a class based object oriented program. OOP concept intend to improve code reability on a reusability,",2,1,0.4367119,0.8450362682342529,0.0
23,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","OOP stands for object-oriented programming. Procedural programming is about writing procedures or functions that perform operations on data, when object oriented programming is all about creating objects that contain both data and functions.",5,2,0.6063497,0.9894019961357117,0.424
24,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","Object oriented Programming is a programming paradigm based on the concepts of ""objects"" that contain data and methods. The main purpose of oop is to increase the flexibility and maintainability of programs.",4,2,0.6121856,0.9896753430366516,0.28
25,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",Oriented programming is a type of programming in which data is given more preference over code. as In Object oriented programming everything is dealt as an object. Object Oriented programming follows Bottom-up approach.,5,2,0.694592,0.7212369441986084,0.568
26,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","Object Oriented Programming is the core of Java, in fact all Java Programs are to atleast some extent object oriented. It is a programming paradigm based on the concept of ""objects"" which can contain data and code, data in the form of producers",3,1,0.5425287,0.988929808139801,0.28
27,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",Object oriented Programming is at the core of Java. Most of the programs are obiect Oriented in Java. Oop organizes a program around its data and adds a defined interface to that data. It is characterized as data controlling access to code. So all the code in Java is written into classes and objects & Performing multithreaded Operations.,4,2,0.65938026,0.868704617023468,0.568
28,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",one of the methods of arranging the data & the code together to perform a particular set of comnaands or operations. This approach organises a program around data and a set of well-defined as envrionment to process that data. An Object Oriented Program har a peculiar characteristic of data controlling the access to code.,2,1,0.601115,0.8731128573417664,0.424
29,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",Object oriented Programming is a concept that combines both the data and functions that operate on that data into a single unit called object.,4,2,0.566672,0.989518940448761,0.424
30,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",The object oriented programming is the organization of a program around its data and a set of well defined interfaces to the data.,3,1,0.65455645,0.9808896780014038,0.424
31,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",This approach organizes a program around its data and a set of well defined interfaces to that data,3,1,0.5928199,0.913389265537262,0.424
32,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","object oriented programming in a programing language structure where data and their assosiated processing are defined as self-contained entities called "" Objects"".
 OOPS computer programs are designed in such a way that it makes objects interact with one another",4,2,0.6043682,0.8536396026611328,0.136
33,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","object diented programming by one of the procedural language that consists of a paradigm, ie. object oriented, process oriented in which we can achieve many things with the use of the object olonged Programming. The coding what we have written that is for only classes and objects.",3,1,0.5034732,0.907600462436676,0.144
34,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",Object Oriented programming is a paradigm to design a program using classes and objects. It simplifies the devlopment & maintainence of software.,5,2,0.6411794,0.9755959510803223,0.432
35,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",object oriented programming is an approach where the program is organized around the data or objects and a set of well defined interfaces to that data.,2,1,0.7011089,0.8931354880332947,0.424
36,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",Object oriented programming is the core of java programs and all java programs are to at least some extent,1,0,0.49812835,0.9595158696174622,0.0
37,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",Oops organises a program around its data ie. objects and a set of well defined interfaces to the data . It can be characterized as data controlling access to code .,3,1,0.6421465,0.8879207372665405,0.424
38,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","Object oriented programming unlike procedural oriented programming which focuses on lines of code, OOP focuses on data.  Oops is data controlling and its key concept is data. Oops mainly depends on objects and classes. An Object is a well-defined real life entity which has a state & a behaviour. A Class is a blue print of object and object is an instance of a class",4,2,0.586371,0.91693514585495,0.424
39,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","object oriented Programing or oops refer to language that uses objects in programming It aims to implement real-world entities like polymorphism, inheritance, class etc. and also it aims to attach or bind the data and the functions of the code and access the data.",5,2,0.5755564,0.7734595537185669,0.712
40,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",Object Oriented Programming is a programming Paradigm or approach where written code is treated like objects - entities with state and behavior.,3,1,0.61016846,0.9768927097320557,0.0
41,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",This approach organizes around its data (or object) and is a of well defined interfaces to that data. An OOP can be characterized as data controlling access to code.,2,1,0.65472883,0.5923961997032166,0.424
42,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",oop orgnizes a program around its dala (objects) and interfaces at that data. it's also defined as data controlling access code.,2,1,0.56592774,0.9288911819458008,0.568
43,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",The object oriented programing is a type of Programming where the code revolves around objects and its well defined objects. This means that a bunch of objects with well defined functions to access/modify them.,5,2,0.5485572,0.6245441436767578,0.432
44,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","Object Oriented Programming organizes its data, that is, it gives more importance to the data than the structural importance of data. It is defined as data controlling access to code",3,1,0.63146067,0.8944326043128967,0.136
45,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","An approach of programming where everything is represented as objets having a state and a behaviour. It can also be understood as a type of programming where the ""data controls classes to code""",2,1,0.4988099,0.577786386013031,0.288
46,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",Object oriented progamming can be characterized as data controlling access to code,2,1,0.5234639,0.9297469258308411,0.144
47,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","Object oriented programming is a type of programming where all the code is written in the form of classes and objects. In this, the code is organised around the data.",3,1,0.6593388,0.9865660071372986,0.424
48,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","This approach organizes a program around it's data (ie, objects) & a set of well defined Iterfaces to that data",1,0,0.63212705,0.6317501068115234,0.424
49,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","Object Oriented programming is a programming paradigm based on the concept of ""objects"", which can contain data and code: data in the form of fields, and code in the form of procedures. A feature of objects is that an objects in that an object's own procedures can access and often modify the data fields to of itself ",5,2,0.63138306,0.8432587385177612,0.136
50,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",It is the approach that organizes the program around the data and a set of null defined interfaces to the object,4,2,0.5976133,0.8990780115127563,0.568
51,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",OOP is at core of Java. It is a programming paradigm based on the concept of objects and set of well defined interfaces to that object,5,2,0.5661319,0.9903889298439026,0.288
52,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","any object oriented programming is the the programming which is object oriented approach in which the real world entities are divided into classes
and objects ",4,2,0.5778865,0.9107241034507751,0.288
53,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",Object-Oriented Programming is a methodology or a paradigm where a program uses classes and objects. It simplifies software developement and it is more focused on the data of the program and its security rather than the functions and process. This involves using objects which are entities having states and other data corresponding to it. Example: Person 1 is a object with atributes as name & Gender.,5,2,0.6418379,0.9440241456031799,0.712
54,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","object oriented programming is a method of implementation in which programs are Organized based on objects, each of which represent an instance of a class. A class contains all the data members, methods which can be used to modify / handle their objects. A class is similar to a blueprint. ",6,3,0.64283246,0.9479103088378906,0.0
55,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","This approach characterizes a program around its data and a set of well defined interfaces to that data.An object oriented plogram can be characterized as data controlling access to code. As the name suggests, it uses objects in programming. It aims to implement real world entities like inheritance, polymorphism etc. Oops concept brings this data and behavious in a single place called class and we can create any number of objects to represent different state for each object.",6,3,0.5134324,0.5931748151779175,0.856
56,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",An Object-oriented programming is a programming approach that organises the program ars around it's data (i e. the object) and a group of well-defined interfaces to that data.,5,2,0.6873967,0.7029421925544739,0.136
57,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",Object Oriented Programming is an approach that organizes a program around the data (objects) and a set of well-defined interfaces to that data. It can be characterized as data controlling access to code.,5,2,0.6807397,0.9535216689109802,0.424
58,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","object oriented programming is a programing based on
the concepts of of bjects, which can contain data and code.",4,2,0.5970971,0.6989822387695312,0.136
59,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.","Object Oriented programming is defined as a programming concept that lets us create methods and variables, then re-use all without compromising with security. It makes use of objects and classes And makes the code more reusable. ",5,2,0.5788792,0.965534508228302,0.0
60,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",The object oriented programming is an approach organizes a program around its data (that is objects) and a set of all well-defilled interfaces to that data. An object oriented program can be characterized as dar a controlling access to code.,5,2,0.65123504,0.6779050827026367,0.424
61,"Object-oriented programming (OOP) is a computer programming model that organizes software design around data, or objects, rather than functions and logic. It follows the bottom-up approach.",Object oriented programing is a computer programing model that organizes Software design around objects and not functions and logic. Au object is a data field that has unique attributes and behaviour. Object and oriented programing combines a group of variables and functions into a single unit called an object. These objects can be organized together to form classes.,7,3,0.7473016,0.9401715397834778,0.432
